zip,premium,claim_freq_avg,claim_freq_peak,loss_ratio_peak,claim_severity_avg,nonrenewal
01854,1607.0,0.0313,0.0437,0.257,10698.0,0.0112
01860,1746.0,0.0304,0.0426,0.311,11823.0,0.0067
01862,1577.0,0.0423,0.06,0.47,18291.0,0.0098
01863,1523.0,0.0337,0.0492,0.337,12436.0,0.0121
01864,1860.0,0.0456,0.0679,0.629,20946.0,0.0107
01867,1818.0,0.0358,0.0505,0.395,14891.0,0.0073
01876,1533.0,0.0335,0.0542,0.511,14423.0,0.0082
01879,1635.0,0.0345,0.0403,0.38,13584.0,0.0114
01880,1758.0,0.0408,0.0542,0.398,13051.0,0.008
01886,1725.0,0.0387,0.0538,0.406,13368.0,0.008
01887,1602.0,0.0328,0.0554,0.449,15270.0,0.009
01890,2721.0,0.0422,0.0546,0.325,17321.0,0.0039
01902,2172.0,0.0398,0.0581,0.277,10946.0,0.0152
01904,1964.0,0.0399,0.0647,0.315,12501.0,0.0095
01905,1934.0,0.0401,0.0699,0.535,18679.0,0.0135
01906,1828.0,0.0398,0.0633,0.352,15861.0,0.0116
01907,2767.0,0.0527,0.0722,0.553,24447.0,0.0077
01908,3557.0,0.0673,0.1013,0.703,21568.0,0.0023
01913,1659.0,0.0343,0.0479,0.274,10830.0,0.0043
01915,2146.0,0.0411,0.0586,0.301,14954.0,0.0096
01921,3046.0,0.0471,0.0807,0.733,29953.0,0.0085
01922,2027.0,0.0275,0.0453,0.301,16591.0,0.0097
01923,1890.0,0.0469,0.0704,0.412,13824.0,0.0085
01929,2506.0,0.0275,0.0422,0.141,12541.0,0.0101
01930,2577.0,0.0388,0.0518,0.363,20476.0,0.0103
01938,2260.0,0.0399,0.0526,0.447,21984.0,0.0061
01940,2344.0,0.0522,0.0808,0.545,17001.0,0.008
01944,4562.0,0.046,0.0585,0.612,27127.0,0.0094
01945,2971.0,0.0561,0.0701,0.288,14413.0,0.0093
01949,2107.0,0.0413,0.0564,0.458,18162.0,0.0076
01950,2041.0,0.0376,0.0491,0.259,12942.0,0.0091
01951,2321.0,0.042,0.0474,1.437,39911.0,0.0058
01952,1682.0,0.0368,0.0532,0.405,14694.0,0.0074
01960,1708.0,0.0429,0.068,0.425,14348.0,0.0111
01966,2614.0,0.033,0.039,0.696,28268.0,0.0102
01969,1915.0,0.0336,0.046,0.774,25722.0,0.0047
01970,1959.0,0.0415,0.0596,0.32,13898.0,0.0156
01982,2481.0,0.0479,0.0636,0.292,14777.0,0.0071
01983,2365.0,0.052,0.0883,0.513,16442.0,0.009
01984,2810.0,0.0525,0.0836,0.469,18829.0,0.0099
01985,2275.0,0.0366,0.0454,1.162,41164.0,0.0083
02019,1618.0,0.0433,0.0517,0.681,16022.0,0.0104
02021,2090.0,0.0478,0.0705,0.517,15089.0,0.0085
02025,3827.0,0.0742,0.1051,0.484,18627.0,0.0155
02026,1837.0,0.0389,0.0541,0.747,21757.0,0.0086
02030,4178.0,0.0536,0.0988,0.361,15299.0,0.0091
02032,1922.0,0.0408,0.0589,0.582,15509.0,0.0087
02035,1858.0,0.0431,0.0702,0.407,17051.0,0.0114
02038,1846.0,0.0464,0.0637,0.388,14757.0,0.0064
02043,3125.0,0.0567,0.0763,0.577,23674.0,0.0069
02045,2770.0,0.05,0.0836,0.61,24820.0,0.0063
02047,2985.0,0.0345,0.0575,0.695,18402.0,0.0119
02048,1966.0,0.0453,0.0855,0.486,10888.0,0.0069
02050,2547.0,0.0583,0.0832,0.596,18488.0,0.0098
02052,2435.0,0.05,0.0679,0.504,16502.0,0.0063
02053,1839.0,0.0511,0.0744,0.601,18902.0,0.0093
02054,1797.0,0.0427,0.0594,0.371,15570.0,0.0103
02056,1960.0,0.0405,0.0596,0.36,12728.0,0.0048
02061,2729.0,0.0654,0.0946,0.975,25105.0,0.0042
02062,1727.0,0.0389,0.0553,0.413,12987.0,0.0095
